Id, Open, Close, High, Low, Volume, Name, Date
234,59.54,58.226,59.56,57.348,29975785,$TSLA,06/05/18-2018
235,60.1,63.9,64.434,59.496,93836345,$TSLA,06/06/18-2018
236,63.23,63.218,66.0,62.716,71726355,$TSLA,06/07/18-2018
237,63.8,63.532,64.896,63.43,41026010,$TSLA,06/08/18-2018
238,64.502,66.42,66.932,64.5,65917365,$TSLA,06/11/18-2018
239,68.94,68.554,70.994,67.6,111737015,$TSLA,06/12/18-2018
240,69.3412,68.956,69.44,67.96,47349020,$TSLA,06/13/18-2018
241,69.526,71.544,71.75,69.32,54905115,$TSLA,06/14/18-2018
242,70.768,71.634,72.934,70.25,54241270,$TSLA,06/15/18-2018
243,71.08,74.166,74.746,70.9,60366130,$TSLA,06/18/18-2018
244,73.032,70.51,74.0,69.25,63809515,$TSLA,06/19/18-2018
245,71.608,72.444,72.876,70.4,41918280,$TSLA,06/20/18-2018
246,72.4,69.502,73.24278,69.254,39835725,$TSLA,06/21/18-2018
247,70.308,66.726,70.45,66.4,51330295,$TSLA,06/22/18-2018
248,66.024,66.602,67.694,65.5,34656520,$TSLA,06/25/18-2018
249,67.2108,68.4,68.71,65.1598,37262435,$TSLA,06/26/18-2018
250,69.0,68.9,70.158,67.9,41668635,$TSLA,06/27/18-2018
251,69.732,69.986,71.404,69.222,41990025,$TSLA,06/28/18-2018
252,70.666,68.59,70.772,68.482,32461980,$TSLA,06/29/18-2018
253,72.014,67.014,72.956,65.97,93798825,$TSLA,07/02/18-2018
254,66.35,62.172,66.498,61.938,61413190,$TSLA,07/03/18-2018
255,62.752,61.832,62.878,59.244,87381870,$TSLA,07/05/18-2018
256,60.9909,61.78,62.414,60.4,44327255,$TSLA,07/06/18-2018
257,62.398,63.702,63.704,61.6,37983765,$TSLA,07/09/18-2018
258,64.912,64.494,65.53542,63.84,47357490,$TSLA,07/10/18-2018
259,63.16,63.792,64.388,63.014,24420380,$TSLA,07/11/18-2018
260,64.286,63.342,64.646,62.554,28605830,$TSLA,07/12/18-2018
261,63.116,63.774,63.91698,61.85,29378850,$TSLA,07/13/18-2018
262,62.342,62.02,63.032,61.25,39093275,$TSLA,07/16/18-2018
