ticker: ['CSCO', 'V', 'MRK', 'AXP', 'MSFT']
Day,Open,Close,High,Low,Volume,SYM,Date
115,218.5,220.77,220.98,217.51,4316817,$V,03/28/22-2022
116,224.84,228.12,228.81,223.78,8032486,$V,03/29/22-2022
117,225.84,223.95,226.16,222.73,7084039,$V,03/30/22-2022
118,223.91,221.77,225.92,220.44,10759520,$V,03/31/22-2022
119,223.08,226.36,226.63,222.23,6559565,$V,04/01/22-2022
120,225.76,227.74,229.24,224.96,8521645,$V,04/04/22-2022
121,226.83,226.09,228.99,225.31,4657961,$V,04/05/22-2022
122,222.78,219.01,222.87,218.62,7430023,$V,04/06/22-2022
123,218.31,216.15,218.68,213.68,6995062,$V,04/07/22-2022
124,214.81,216.98,219.405,213.08,5438734,$V,04/08/22-2022
125,215.25,214.75,217.3,213.41,6942735,$V,04/11/22-2022
126,82.42,81.67,82.56,80.65,11585109,$MRK,01/11/22-2022
127,81.08,81.2,81.42,80.67,13056970,$MRK,01/12/22-2022
128,80.93,81.32,81.72,80.33,9678145,$MRK,01/13/22-2022
129,81.6,81.38,81.8521,80.765,9478020,$MRK,01/14/22-2022
130,81.1,81.54,82.16,80.805,14494396,$MRK,01/18/22-2022
131,80.98,81.29,81.98,80.4801,11448183,$MRK,01/19/22-2022
132,80.73,80.75,81.86,80.52,12069577,$MRK,01/20/22-2022
133,81.27,79.98,81.52,79.24,18461735,$MRK,01/21/22-2022
134,79.77,78.83,80.11,76.65,17293349,$MRK,01/24/22-2022
135,78.42,79.46,79.775,77.775,13662385,$MRK,01/25/22-2022
136,79.39,79.14,80.34,78.73,13046599,$MRK,01/26/22-2022
137,78.42,80.58,81.595,78.42,20189659,$MRK,01/27/22-2022
138,79.54,80.9,80.99,79.18,13915287,$MRK,01/28/22-2022
139,81.02,81.48,81.72,80.8,13034987,$MRK,01/31/22-2022
140,81.96,81.92,82.115,81.075,10803331,$MRK,02/01/22-2022
141,81.795,82.01,82.295,81.26,13988212,$MRK,02/02/22-2022
142,81.65,79.01,81.8,78.4,19181351,$MRK,02/03/22-2022
143,78.51,78.56,79.55,78.2,10716242,$MRK,02/04/22-2022
144,78.79,77.58,78.92,77.44,23615276,$MRK,02/07/22-2022
145,77.1,76.91,77.33,75.82,17486482,$MRK,02/08/22-2022
146,77.17,76.53,77.33,76.41,15183105,$MRK,02/09/22-2022
147,76.36,76.56,76.77,75.93,12437552,$MRK,02/10/22-2022
148,76.4,76.64,77.8997,76.17,9342303,$MRK,02/11/22-2022
149,76.63,76.47,76.7,75.11,9881111,$MRK,02/14/22-2022
150,77.51,77.81,78.19,77.32,11426143,$MRK,02/15/22-2022
151,77.2,77.22,77.795,76.9345,9981458,$MRK,02/16/22-2022
152,76.85,76.36,76.93,76.0,8889342,$MRK,02/17/22-2022
153,76.32,76.37,76.86,75.89,8780451,$MRK,02/18/22-2022
154,76.46,75.95,76.86,75.61,9052499,$MRK,02/22/22-2022
155,76.19,75.84,76.44,75.62,9659085,$MRK,02/23/22-2022
156,75.1,73.51,75.32,72.875,21135639,$MRK,02/24/22-2022
157,74.2,76.32,77.29,74.17,13665854,$MRK,02/25/22-2022
158,75.83,76.58,76.76,74.78,14126136,$MRK,02/28/22-2022
159,76.5,76.34,77.76,75.95,9807533,$MRK,03/01/22-2022
160,76.31,76.67,77.22,76.06,9697506,$MRK,03/02/22-2022
161,76.77,77.15,77.54,76.405,8191074,$MRK,03/03/22-2022
162,76.68,77.83,77.86,76.02,12217426,$MRK,03/04/22-2022
163,77.01,77.73,78.29,76.08,14008420,$MRK,03/07/22-2022
164,77.25,76.95,78.09,76.56,10184057,$MRK,03/08/22-2022
165,77.62,77.79,78.225,77.05,9745966,$MRK,03/09/22-2022
166,77.63,77.89,78.2,77.335,8972190,$MRK,03/10/22-2022
167,78.32,78.26,79.625,78.2,9424532,$MRK,03/11/22-2022
168,77.9,77.78,78.6077,77.31,10085371,$MRK,03/14/22-2022
169,77.68,78.64,79.005,77.4,11403014,$MRK,03/15/22-2022
170,78.96,78.12,79.11,77.65,10943961,$MRK,03/16/22-2022
171,78.15,78.94,79.37,78.0593,10279404,$MRK,03/17/22-2022
172,79.18,79.11,79.735,78.63,21064808,$MRK,03/18/22-2022
173,79.67,79.06,80.45,78.91,10478273,$MRK,03/21/22-2022
174,79.27,79.3,79.78,78.765,10016775,$MRK,03/22/22-2022
175,79.3,79.73,80.58,79.23,8470362,$MRK,03/23/22-2022
176,80.04,80.41,80.6694,79.72,7605002,$MRK,03/24/22-2022
177,80.59,81.34,81.38,80.45,7126077,$MRK,03/25/22-2022
178,81.37,81.21,81.665,80.73,7071913,$MRK,03/28/22-2022
179,81.66,81.57,81.76,80.74,7398712,$MRK,03/29/22-2022
180,81.84,82.4,82.7,81.665,9326610,$MRK,03/30/22-2022
181,82.9,82.05,83.375,81.94,12466815,$MRK,03/31/22-2022
182,82.19,83.52,83.58,81.64,10086740,$MRK,04/01/22-2022
183,83.5,83.49,83.89,82.73,9040033,$MRK,04/04/22-2022
184,83.66,83.72,85.43,83.51,12040943,$MRK,04/05/22-2022
185,84.36,84.97,85.555,84.12,13924319,$MRK,04/06/22-2022
186,85.75,86.8,87.11,84.96,13104254,$MRK,04/07/22-2022
187,86.64,87.68,87.835,86.26,11409274,$MRK,04/08/22-2022
188,88.32,86.63,89.48,86.18,14380985,$MRK,04/11/22-2022
189,174.54,175.38,175.72,172.49,2762834,$AXP,01/11/22-2022
190,176.23,174.47,176.82,174.17,3224454,$AXP,01/12/22-2022
191,174.92,173.29,176.375,172.85,3808846,$AXP,01/13/22-2022
192,168.71,168.4,168.71,164.71,6508504,$AXP,01/14/22-2022
193,167.91,166.17,168.94,164.84,4336587,$AXP,01/18/22-2022
194,166.73,161.39,166.73,161.17,3591955,$AXP,01/19/22-2022
195,161.12,160.92,164.57,159.462,4205598,$AXP,01/20/22-2022
196,159.95,158.74,161.8799,157.68,3779077,$AXP,01/21/22-2022
197,155.82,158.93,159.45,152.85,5406501,$AXP,01/24/22-2022
198,166.14,173.11,174.4696,159.66,13320820,$AXP,01/25/22-2022
199,176.95,175.32,179.2247,173.03,8257282,$AXP,01/26/22-2022
200,176.7,171.9,178.2,170.63,3651426,$AXP,01/27/22-2022
201,171.76,177.06,177.21,169.77,4271532,$AXP,01/28/22-2022
202,175.91,179.82,180.13,175.22,5524258,$AXP,01/31/22-2022
203,179.92,183.54,184.04,179.0,3471202,$AXP,02/01/22-2022
204,182.51,184.16,184.58,181.64,2841396,$AXP,02/02/22-2022
205,184.8,184.04,185.8,182.3201,3381027,$AXP,02/03/22-2022
206,184.91,185.85,188.68,184.18,4075775,$AXP,02/04/22-2022
207,185.63,187.87,188.91,184.75,3260818,$AXP,02/07/22-2022
208,188.08,194.0,194.53,187.61,5133918,$AXP,02/08/22-2022
209,194.3,196.4,198.72,194.3,4614173,$AXP,02/09/22-2022
210,196.36,195.51,198.23,194.61,4511139,$AXP,02/10/22-2022
211,195.43,191.81,197.2,190.45,4834921,$AXP,02/11/22-2022
212,192.26,192.35,194.15,190.92,3841257,$AXP,02/14/22-2022
213,194.65,197.98,198.36,194.18,4135150,$AXP,02/15/22-2022
214,197.5,198.38,199.55,197.24,4122642,$AXP,02/16/22-2022
215,195.63,195.71,197.38,194.27,3051685,$AXP,02/17/22-2022
216,194.92,194.88,197.75,194.2,2806269,$AXP,02/18/22-2022
217,195.18,192.44,196.15,191.75,3420575,$AXP,02/22/22-2022
218,194.35,188.95,194.45,188.55,3562094,$AXP,02/23/22-2022
219,180.47,188.35,188.5,179.05,5886604,$AXP,02/24/22-2022
220,189.66,193.71,194.25,189.46,5426163,$AXP,02/25/22-2022
221,189.63,194.54,195.13,189.23,5787757,$AXP,02/28/22-2022
222,194.67,178.06,194.77,176.77,8562503,$AXP,03/01/22-2022
223,179.79,180.31,182.24,178.1,4058834,$AXP,03/02/22-2022
224,182.11,179.89,183.45,178.73,3339910,$AXP,03/03/22-2022
225,176.62,172.95,176.83,170.8205,5349824,$AXP,03/04/22-2022
226,170.13,159.13,170.755,159.08,7760413,$AXP,03/07/22-2022
227,160.52,160.05,166.29,155.72,7058862,$AXP,03/08/22-2022
228,168.02,168.65,170.73,166.71,4788406,$AXP,03/09/22-2022
229,165.59,169.6,170.96,164.83,3841129,$AXP,03/10/22-2022
230,171.75,167.9,172.31,167.63,3000007,$AXP,03/11/22-2022
231,171.33,172.79,174.71,169.71,4614621,$AXP,03/14/22-2022
232,173.59,176.04,178.295,173.37,3827346,$AXP,03/15/22-2022
233,179.18,180.61,182.76,176.3,5239264,$AXP,03/16/22-2022
234,180.18,186.97,187.71,180.06,6398861,$AXP,03/17/22-2022
235,188.69,190.72,191.0,184.84,8744106,$AXP,03/18/22-2022
236,190.77,189.09,191.5,187.56,3166169,$AXP,03/21/22-2022
237,190.5,191.33,194.35,190.06,3006978,$AXP,03/22/22-2022
238,188.83,186.02,189.62,185.18,3664595,$AXP,03/23/22-2022
239,186.61,188.89,189.37,185.7,2424574,$AXP,03/24/22-2022
240,190.41,190.28,191.26,189.0,1872175,$AXP,03/25/22-2022
241,189.95,189.7,189.95,186.29,3043718,$AXP,03/28/22-2022
242,192.33,190.94,194.0,190.36,2764127,$AXP,03/29/22-2022
243,191.39,189.76,192.1,188.4,2278190,$AXP,03/30/22-2022
244,189.53,187.0,191.1087,186.94,3801799,$AXP,03/31/22-2022
245,188.2,187.17,189.4158,186.28,2646976,$AXP,04/01/22-2022
246,187.62,187.66,188.5,185.59,2971519,$AXP,04/04/22-2022
247,187.49,185.4,190.84,184.8,2974710,$AXP,04/05/22-2022
248,184.49,183.71,184.87,181.73,3143308,$AXP,04/06/22-2022
249,181.52,182.39,183.265,179.11,4062440,$AXP,04/07/22-2022
250,183.0,183.7,186.72,181.93,3075707,$AXP,04/08/22-2022
251,181.06,177.57,182.44,177.25,4816967,$AXP,04/11/22-2022
252,313.38,314.98,316.61,309.89,29386774,$MSFT,01/11/22-2022
253,319.67,318.27,323.41,317.08,34372217,$MSFT,01/12/22-2022
254,320.4658,304.8,320.88,304.0,45365979,$MSFT,01/13/22-2022
255,304.25,310.2,310.82,303.75,39846414,$MSFT,01/14/22-2022
256,304.07,302.65,309.8,301.74,42434112,$MSFT,01/18/22-2022
257,306.29,303.33,313.9093,302.7,45933855,$MSFT,01/19/22-2022
258,309.07,301.6,311.6494,301.14,35380675,$MSFT,01/20/22-2022
259,302.685,296.03,304.11,295.61,57984403,$MSFT,01/21/22-2022
260,292.2,296.37,297.11,276.05,86035393,$MSFT,01/24/22-2022
261,291.52,288.49,294.99,285.17,72848638,$MSFT,01/25/22-2022
262,307.985,296.71,308.5,293.03,90428853,$MSFT,01/26/22-2022
263,302.66,299.84,307.3,297.93,53481317,$MSFT,01/27/22-2022
264,300.23,308.26,308.48,294.45,49743698,$MSFT,01/28/22-2022
265,308.95,310.98,312.38,306.37,46444536,$MSFT,01/31/22-2022
266,310.41,308.76,310.63,305.1293,40950396,$MSFT,02/01/22-2022
267,309.63,313.46,315.12,308.88,36635989,$MSFT,02/02/22-2022
268,309.49,301.25,311.23,299.96,43729972,$MSFT,02/03/22-2022
269,300.21,305.94,308.8,299.97,35096488,$MSFT,02/04/22-2022
270,306.17,300.95,307.84,299.9,28533286,$MSFT,02/07/22-2022
271,301.25,304.56,305.561,299.95,32421188,$MSFT,02/08/22-2022
272,309.865,311.21,311.93,307.39,31284671,$MSFT,02/09/22-2022
273,304.04,302.38,309.12,300.7,45386199,$MSFT,02/10/22-2022
274,303.19,295.04,304.29,294.22,39175620,$MSFT,02/11/22-2022
275,293.77,295.0,296.76,291.35,36359487,$MSFT,02/14/22-2022
276,300.008,300.47,300.8,297.02,27379488,$MSFT,02/15/22-2022
277,298.365,299.5,300.87,293.68,29982121,$MSFT,02/16/22-2022
278,296.36,290.73,296.8,290.0,32461580,$MSFT,02/17/22-2022
279,293.05,287.93,293.86,286.305,34264008,$MSFT,02/18/22-2022
280,285.0,287.72,291.54,284.5,41736117,$MSFT,02/22/22-2022
281,290.18,280.27,291.7,280.1,37811167,$MSFT,02/23/22-2022
282,272.51,294.59,295.16,271.52,56989686,$MSFT,02/24/22-2022
283,295.14,297.31,297.63,291.655,32546721,$MSFT,02/25/22-2022
284,294.31,298.79,299.14,293.0,34627457,$MSFT,02/28/22-2022
285,296.4,294.95,299.97,292.15,31217778,$MSFT,03/01/22-2022
286,295.36,300.19,301.47,293.698,31873007,$MSFT,03/02/22-2022
287,302.89,295.92,303.13,294.05,27314469,$MSFT,03/03/22-2022
